0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67
-41,0.7,1.1,0.8,0.1,0.5,0.3,1.3,1.8,1.5,1.8,1.6,1.2,2.4,2.6,2.9,3.7,3.6,2.8,4.1,4.3,5.2,6.7,6.5,5.2,6.5,6.9,8.6,11.6,11.3,9.5,3.6,10.2,11.6,4.9,15.4,19.8,21.7,5.6,24.5,19.9,24.9,34.8,48.5,100.7,90.4,384,392.9,356.3,281.5,173.1,107.9,405.8,412.4,377.6,304.8,193.9,,123.3,414.2,419.1,384.4,313,201.8,129.8,4.4,5.5,5.8
-40,0.8,1.1,0.9,0,0.5,0.3,1.3,1.8,1.6,1.9,1.7,1.3,2.5,2.8,3,3.9,3.6,2.8,4.3,4.5,5.5,7.1,6.8,5.4,6.9,7.3,9.3,12.3,12,10.3,4,11.1,12.9,5.3,17.1,22.2,24.9,7.3,31.8,24.1,30.8,43.3,65.2,124.5,93.3,387.1,396.2,359.1,283.8,174.5,108.5,408.3,414.8,380.1,306.3,194.7,,123.6,416.7,421.6,386.6,314.4,202.5,129.9,4.7,5.9,7.4
-39,0.8,1.1,0.9,0,0.5,0.2,1.5,1.8,1.6,2,1.7,1.4,2.6,3,3.2,4.1,3.8,3,4.4,4.8,5.8,7.5,7.1,5.7,7.3,7.9,10.2,13.2,13,11.3,4.2,12.1,14.4,5.9,19.4,25,29.5,10,44.3,31,39.7,57.2,96.6,139.8,95.5,390.3,400,362.2,286.1,175.5,109,410.5,417.4,381.7,307.9,195.6,,123.9,419.4,424.2,388.5,316.2,203.4,130.5,5.1,6.4,9.9
-38,0.8,1.2,0.9,0,0.6,0.2,1.6,1.9,1.6,2.1,1.7,1.5,2.7,3.1,3.4,4.3,4,3.1,4.6,5,6.2,7.9,7.4,5.9,7.5,8.5,11.2,14.2,14.1,12.4,4.4,13.3,16.5,6.4,22.5,28.6,37,13.3,59.4,43.3,54.8,83.4,143.9,148.6,97.3,392.7,403,365.3,288.3,176.5,109.5,412.9,420.1,383.5,309.8,196.4,,124.3,420.9,426.5,390.5,317.8,204.5,131.1,5.5,7,13.1
-37,0.7,1.3,0.8,0.2,0.6,0.2,1.5,1.9,1.8,2.1,1.7,1.5,2.7,3.2,3.5,4.4,4.2,3.2,4.8,5.3,6.5,8.4,8,6.4,8,9.3,12.4,15.5,15.3,14.2,4.9,15.1,19.3,7,26.3,33.8,49.4,16.5,73.5,68,84.5,134.2,193.1,154.4,99,395.2,406.4,367.9,289.9,177.6,110,415.2,422.3,385.9,311.5,197.2,,125,423.4,429.1,392.9,319.2,205.4,131.7,5.9,8.2,16.5
-36,0.8,1.2,0.9,0.5,0.6,0.2,1.5,2,1.9,2.2,1.7,1.5,2.9,3.3,3.7,4.7,4.4,3.4,5.1,5.6,7,8.9,8.6,6.8,8.6,10.1,13.6,17.1,17.3,16.6,5.7,17.8,23.1,8.3,31.6,40.9,70.6,18.8,83.2,121.6,145.1,206.9,228.2,158.4,100.2,398.1,409,370.1,291.8,178.6,110.7,417.5,424.4,388.6,313,198,,125.8,426.7,431.3,394.6,321.2,206.2,132.4,6.5,9.1,19.1
-35,0.8,1.2,0.9,0.7,0.7,0.2,1.6,2.1,2,2.3,1.9,1.4,3.1,3.5,3.9,5,4.6,3.6,5.3,6.1,7.5,9.6,9.2,7.4,9.4,11.3,15.2,18.9,19.4,20.4,6.7,21.8,28.7,10.1,39.2,53.3,99.2,20.2,88.8,205.7,232.4,271.4,248.2,161.5,101.3,400.6,411.4,372.9,293.9,179.8,111.4,419.8,427,389.7,314,198.9,,126.2,428.6,433.8,396.9,322.6,207,132.8,7.9,11.3,20.5
-34,0.8,1.2,0.9,0.8,0.8,0.2,1.7,2.2,2.1,2.4,2,1.5,3.1,3.7,4.1,5.4,4.8,3.8,5.6,6.6,8.3,10.4,9.7,8,10.4,12.7,17.3,21.2,22.5,26.2,8.4,28.2,37.1,13.4,51.3,76,124.6,21,92.4,289.3,308.2,311.1,260,164,102.3,402.9,414,375.4,295.4,180.9,112,421.6,429.2,391.9,314.9,199.9,,126.6,430.3,436.1,399.7,324,207.8,133.1,10.3,15.2,21.3
-33,0.8,1.3,0.9,0.9,0.7,0.2,1.7,2.3,2.2,2.6,2.2,1.6,3.2,3.9,4.5,5.7,5.1,4,6,7.1,9.1,11.4,10.7,9,11.7,14.6,20.2,24.5,26.9,35.9,12.2,39.8,51,20,73.2,117.4,140,21.4,94.9,343,353.6,332.4,267.9,166.3,103.2,405.8,416.5,377.6,297.4,181.8,112.5,423.9,431.1,394.7,317,200.8,,127.1,432.4,438.7,401.7,325.4,208.8,133.7,14.4,21.9,21.6
-32,0.8,1.4,0.9,0.9,0.6,0.3,1.7,2.4,2.3,2.7,2.3,1.7,3.5,4.1,5,6.1,5.3,4.2,6.4,7.7,10.2,12.4,11.7,10.1,13.5,17.4,23.7,28.8,34.3,49.9,20.4,62.4,77.4,32.1,116.3,174.5,149.4,21.6,97.4,369,376.2,345.3,274,167.9,104.1,408.3,419.1,380.1,299.9,182.6,112.9,426.6,433.5,396.3,318.7,201.8,,127.7,435,440.5,403.4,326.7,209.8,134.2,21.9,33.1,21.8
-31,0.8,1.4,0.9,1,0.6,0.4,1.8,2.5,2.4,2.8,2.4,1.8,3.8,4.3,5.4,6.6,5.8,4.5,6.9,8.5,11.3,13.8,13,11.6,16.1,21.1,28.4,34.8,46.4,65.2,36.2,112.6,132.3,52.1,185.8,220.1,155.4,21.7,98.9,382.9,390.1,353.8,279.1,170,104.8,411.1,421.6,382.4,301,183.6,113.3,428.5,436.2,398.5,320.6,202.7,,128,436.8,442.5,405.3,328.1,210.6,134.6,35.7,51,22.2
-30,0.8,1.4,0.9,1,0.6,0.4,1.9,2.6,2.6,3,2.5,1.9,4,4.6,5.9,7.2,6.4,5,7.5,9.7,12.8,15.6,14.9,13.6,19.9,26.4,35.6,44.4,67.9,77.6,60.8,196.3,219.5,70.5,257.9,246.6,160.2,22.3,100,391.5,399.4,360,283,171.4,105.4,413.2,424.6,384.6,303.1,184.7,114,430.8,438.6,400.9,322.1,203.5,,128.3,439.5,444.9,407.3,330.3,211.3,134.8,58.8,70.5,22.4
-29,0.8,1.3,1,1,0.7,0.4,2,2.7,2.7,3.1,2.7,2,4.2,5,6.5,7.8,6.9,5.5,8.6,11.2,14.8,17.6,17.1,16.5,26.1,34.3,46.6,62,97.1,85.9,86,286,303.2,83.3,308.2,261.4,162.9,22.3,101.1,397.9,406.8,366.6,286.1,172.7,106.1,415.7,427,387.1,305.2,185.6,114.7,433.2,441.1,402.1,323.5,204.4,,128.8,441.8,447,409.5,331.6,212.1,135.4,83.5,83.4,22.5
-28,0.9,1.4,1,1,0.8,0.4,2.2,2.8,2.9,3.3,2.8,2.1,4.5,5.4,7.1,8.5,7.5,6,9.7,13.1,17.3,20.2,20,21,37.1,47.2,65.6,93.9,123.7,91.1,100.9,347.7,356.3,90.1,335.5,269.2,165.6,22.4,102.1,403,411.9,371.1,289.3,174.4,106.9,418.2,429.4,389.8,306.6,186.5,115.2,435.3,443.2,404.4,325,205.2,,129.2,443.9,449.3,411.6,333.1,212.9,136,100.4,90.7,22.3
-27,0.9,1.5,1,1.1,0.8,0.5,2.2,2.9,3.1,3.5,3,2.3,4.9,6,8.1,9.3,8.3,6.8,11.3,15.8,20.5,24.3,25.2,29.1,60.6,74.1,105.1,144.2,141.2,94.2,109,375.9,383.6,93.3,350.3,275.9,168,22.4,103,407.3,416.5,374.9,292.3,175.5,107.4,420.7,431.3,391.9,308.3,187.3,115.5,438.1,445.4,406.5,326.1,205.9,,129.8,445.7,452.3,413.8,334.7,213.6,136.4,109.7,94.3,22.4
-26,1,1.5,1,1.1,0.9,0.5,2.3,3.1,3.4,3.9,3.1,2.5,5.4,6.8,9.1,10.5,9.2,7.7,14,19.4,25.3,29.4,32.6,41.5,110.8,126.5,170.1,198.1,150.6,96.5,112.8,390.4,397.9,95.7,359.7,281.2,170.2,22.4,104.1,410.9,421,378.6,294.7,176.6,107.9,423.3,433.9,393.7,309.2,188.2,116.1,440.6,447.9,409.3,327.9,206.5,,130.3,448.2,455.1,415.7,335.9,214.2,136.7,113.7,96.1,22.5
-25,1,1.6,1.1,1.2,0.9,0.5,2.5,3.3,3.8,4.2,3.5,2.7,6,7.8,10.4,11.8,10.6,8.9,18.1,24.6,31.9,36.8,46.1,58.3,197.1,214.3,248,235,157.1,98.2,114.3,400.1,408,95.9,366.8,285.8,171.6,22.6,105.1,414.1,425,381.8,297,177.8,108.4,425.1,436.6,395.7,311.7,189.2,116.6,442.5,450.2,410.9,329.4,207.3,,130.8,450.4,457,417.5,337.9,215,137.1,114.6,97.6,22.4
-24,1.1,1.6,1.2,1.3,0.9,0.5,2.7,3.6,4.3,4.7,3.9,3,6.8,9.1,12.1,13.6,12.1,10.6,24.4,32.5,41.5,49.7,68.5,72.7,290.4,302.2,305.3,256.2,161.2,99.6,115.1,407,415.4,96.7,373.3,289.2,173.1,22.7,105.6,416.7,428.3,385.1,299.1,179,109.1,427.3,439.3,398.1,313.1,190.3,117,444.5,452.2,412.5,330.7,208.2,,131.2,452.9,458.9,419.9,339,215.9,137.5,116.1,97.8,22.2
-23,1.2,1.7,1.3,1.4,0.9,0.6,2.9,4,4.9,5.2,4.3,3.3,7.8,10.8,14.4,16,14.5,13.1,34.9,44.9,57.7,72.1,97.9,82.5,351.9,358.9,335.9,268.2,164.2,100.9,115.7,411.4,420.3,97.6,377.5,292.3,174.3,22.7,106.2,419.4,431,388.4,300.8,179.9,109.7,429.8,441,400.4,314.5,191,117.4,446.6,454.5,415,331.7,209,,131.5,455,461.2,421.8,340,216.4,138.1,116.8,98.2,22.7
-22,1.2,1.7,1.4,1.4,0.9,0.6,3.1,4.5,5.5,5.9,4.7,3.7,9.5,13.2,17.4,19,17.5,16.9,56.9,69,87.9,114.7,124,88.5,381.7,387.5,352.3,275.6,166.8,101.9,116.6,414.8,425.6,98.2,381.2,295.3,175.5,22.7,106.8,422,433.5,389.9,302.8,180.8,110.1,431.8,442.7,402.1,315.1,191.7,117.9,448.7,456.7,415.7,332.5,209.7,,131.8,457,463.2,423,341.8,216.9,138.8,117.2,98.8,22.6
-21,1.3,1.8,1.5,1.5,1.1,0.7,3.6,5.2,6.2,6.5,5.5,4.2,11.7,16.6,21.5,23.2,22,23,102.3,116.9,147,171.4,140.7,92.4,396.9,403.2,362.7,281.6,168.5,102.5,117.2,418.2,429.6,98.2,385.2,297.4,176.5,22.7,107.4,424.3,436.4,391.9,304.8,181.8,110.4,434.1,445.9,403.9,318.1,192.4,118.4,450.8,458.5,418.4,334.9,210.2,,132.2,459.1,464.9,424.8,343,217.5,139,117.4,99.1,22.5
-20,1.4,1.9,1.7,1.7,1.3,0.7,4.1,5.9,7.3,7.8,6.3,5.1,15.4,21.4,27.4,29.2,29.2,32.9,183.3,197.4,228,220.2,150.6,94.8,406.1,414.1,370.6,286.6,170.1,103.3,117.3,421.4,433.3,98.5,388.1,299,177.5,22.8,107.8,426.9,439.1,394.9,306.5,182.7,110.7,435.8,448.1,406,319.1,193.1,118.8,452.5,460.7,419.7,336.5,210.7,,132.7,461.3,467.4,426.6,344.2,218.2,139.2,117.8,99.1,22.7
-19,1.5,2.1,1.9,1.9,1.4,0.8,4.7,6.9,8.6,9,7.6,5.9,21.2,28.7,35.4,38.8,41.5,47,279.6,288.9,295.6,248.5,156.3,97.1,413.1,421.7,377,290.1,171.9,104.1,116.9,424.5,436,98.8,391.2,301.8,178.3,22.9,108.2,429.3,440.8,397.1,308.1,183.4,111.1,437.7,450.2,407.9,319.7,193.9,119.3,454.7,462.7,420.9,337.7,211.4,,133.1,463.2,469.8,428.4,345.3,219.2,139.5,118.7,99.3,22.8
-18,1.5,2.2,2.2,2.1,1.6,1,5.6,8.2,10.4,10.7,8.8,7.2,31,40.3,49.3,55.8,63.3,63,350.1,353.5,333.5,265,160.5,98.4,418.2,427.6,382.3,293.2,173.5,104.8,117.2,426.8,438.9,99.1,393.8,303.3,179,23.2,108.7,430.9,443.2,399.7,309.6,184,111.8,440.2,451.4,409.4,321.1,194.7,119.6,456.6,464.5,423.1,338.7,212.2,,133.5,465.3,471.4,430.5,346.7,220.2,139.9,118.4,99.5,22.8
-17,1.5,2.4,2.5,2.3,1.8,1.2,7,10.3,13,13.1,10.9,9.2,51.1,62.3,75.6,87,94,76.1,385.3,388.9,353.6,274.8,163.8,99.4,421.9,432.1,386.4,296.1,174.7,105.4,117.8,428.8,441.9,99.1,395.9,304.9,180,23.3,109.2,432.9,445.5,401.3,311.3,184.8,112.3,442.5,453.8,411.2,322.6,195.5,119.9,458.1,466.7,424.5,339.7,212.8,,133.7,467.1,472.9,432.3,348.3,221.1,140.2,118.1,99.5,23.2
-16,1.8,2.7,2.9,2.7,2,1.4,9.2,13.2,16.6,16.4,14.1,12,94.5,105,126.8,138.1,121.6,84.3,401.8,406.6,365.1,281.4,166.2,100.5,424.9,435.9,389.6,298.6,175.8,105.9,117.7,430.9,443.6,99,398.1,306.8,181,23.2,109.6,434.8,448,403.2,312.7,185.7,112.5,444.2,455.3,413,323.9,196.2,120.2,459.8,469,426.6,340.6,213.4,,133.9,468.6,474.6,433.7,349.5,221.8,140.4,117.7,99.4,23.2
-15,2.1,3,3.4,3.2,2.4,1.7,12.7,17.7,21.6,21.1,18.4,16.6,177.1,185.2,207.4,194.1,139.2,89.2,411.8,418.9,373.6,286.2,167.9,101.4,427.4,439.1,392.2,300.9,176.6,106.3,117.4,433,445.7,99,400.4,308.5,181.9,23.2,110,437,450.1,405.1,313.8,186.4,112.9,446.3,457.8,414.1,325.2,196.8,120.4,462.1,470.8,427.8,342,214.1,,134.2,470.7,476.9,435.2,350.7,222.1,140.7,117.6,99.6,23
-14,2.4,3.7,4.1,3.9,2.8,2.1,18.2,24.6,29.1,28.2,25.9,24.7,280.2,281.4,282.2,233.9,149.9,92.5,418.6,426.5,380.2,290,170.1,102.3,430,442.1,395.1,302.7,177.4,106.7,117.3,434.9,447.9,99,402.5,310.1,182.8,23.1,110.4,438.8,451.8,406.6,315,187.1,113.2,447.9,460.1,416.2,326.4,197.4,120.8,464,471.8,429.6,343.3,214.8,,134.6,472.2,478.9,436.6,351.5,222.3,141,117.9,100.2,23.2
-13,2.9,4.5,5,4.9,3.7,2.7,27.5,34.9,41.3,40.9,39.3,37.1,352.3,351.8,325.9,256.9,155.2,94.8,423.5,432.4,384.7,293.3,171.3,103,431.9,444.2,397.4,304.2,178.1,107.2,117.6,436.9,450,99.1,404.5,311.5,183.3,23,110.8,440.2,453.1,408.1,316.3,187.7,113.6,449.3,460.7,418.3,328.2,198.1,121.1,465.5,473.3,431.2,344.6,215.4,,135.1,474,480.3,437.9,352.3,223.1,141.3,118.1,99.4,23
-12,4.1,5.9,6.4,6.2,4.5,3.6,48.1,55.5,65.2,63.7,61.9,53.5,389.4,390.8,350.8,269.1,158.9,96.4,426.6,436.6,388.4,295.8,172.5,103.6,433.7,446.2,399.6,305.8,178.7,107.5,117.5,438.8,452.1,99.6,406.4,312.6,183.8,22.8,111.1,442.1,454.4,410.1,317.4,188.4,114,451,462.4,418.9,329.1,198.7,121.5,466.9,475,432.4,345.8,216,,135.5,475.6,481.8,439.1,353.1,224,141.5,118,99.5,23.2
-11,5.4,7.5,8.6,8,6.1,4.8,89.6,95,111.3,107.1,91.9,68.3,406.3,409.8,364.3,277.2,162.2,97.5,429.5,439.9,391.7,297.5,173.4,103.9,435.8,448.3,401.5,307.4,179.5,107.8,117.7,440.1,453.5,99.8,407.7,313.7,184.4,23.1,111.4,443.7,456.5,411.5,318.3,188.8,114.4,452.3,464.6,420,329.9,199.2,121.9,468.3,477,433.6,346.5,216.2,,135.8,477.6,483.3,440.3,354,224.3,141.7,117.9,99.7,23.1
-10,7.8,10.5,11.7,10.7,8.1,6.6,172.1,171.9,184.9,165.9,118.9,78.8,416,421.5,372.6,282.3,164.5,98.7,431.8,443.2,394.6,299.8,174.2,104.2,437.6,450.3,403,308.7,180.3,108.1,117.7,441.5,455.3,99.3,409.1,314.7,184.9,23.3,111.7,444.9,458.4,412.5,319.2,189.3,114.7,453.6,466,421.6,330.6,199.6,122.1,469.5,478.6,434.8,347.2,216.4,,136,478.9,485.1,441.6,355.2,224.4,141.9,117.7,99.5,23.2
-9,12,14.9,16.5,15.1,11.7,9.6,273.2,268.8,261,215.5,135.8,85,422,428.7,379.2,286.1,166.4,99.6,433.7,445.7,396.5,301.1,174.9,104.6,439.1,452.1,404.3,309.7,180.6,108.4,117.7,442.9,456.9,99.8,410.1,315.7,185.3,23.3,112,446.4,459.6,413.6,320.1,189.9,114.9,455,467.3,423.2,331.2,200.1,122.1,470.8,480,436,347.8,216.8,,136.1,479.8,486.6,443.3,356.5,224.9,142.1,117.6,99.7,23.4
-8,19.2,22.4,24.5,22.5,17.7,15.2,349.4,344.7,313.4,243.9,145.5,88.8,426.1,434.2,383.7,289.6,167.7,100.2,435.2,448,398.4,302.3,175.5,105,439.9,453.8,405.9,310.6,180.9,108.7,117.9,444.2,458.4,99.3,410.6,316.4,185.6,23.2,111.9,448.2,460.8,414.8,321.1,190.4,115,455.8,468.4,424.1,332,200.5,122.5,472.1,481.5,436.8,348.5,217.3,,136.1,480.6,487.8,444.9,356.9,225.5,142.4,117.4,99.3,23.2
-7,34.9,37.1,41.2,37.4,29.3,24.3,386.8,385.5,340.8,258.9,151.5,91,429.5,438.1,386.9,292.3,168.6,100.7,436,449.8,399.7,303.2,176,105.2,440.9,455.1,406.7,311.3,181.6,108.9,117.8,445.5,459.8,99.5,412,317.1,186.5,23.2,111.9,449.4,461.9,416,322.3,190.9,115.3,456.5,469.6,424.7,332.9,201,123,473.3,482,437.6,349.3,217.6,,136.2,481.4,488.7,445.8,357,225.7,142.6,118.1,99.8,23.3
-6,70.1,69.1,75.1,66.6,49.4,37.5,403.6,405,355.3,267,154.8,92.9,430.8,440.9,389.2,293.8,169.5,101.1,437.1,450.7,401.4,304,176.6,105.5,442.1,456,407.6,311.8,182.2,109.1,118,446.5,460.5,99.6,413.5,318,187.3,23.2,112.2,450.2,463,416.9,323,191.4,115.6,457.5,470.8,425.3,333.5,201.4,123,474.2,482.6,438.7,350.2,217.9,,136.4,482.3,489.3,446.4,357.7,225.9,142.8,117.9,100,23.1
-5,144.4,135.2,137,113.6,77.7,52.3,413.3,416.3,363.7,273.4,157.1,94.1,432.2,443.5,391.6,294.8,170,101.3,438.6,451.7,402.9,305,176.6,105.6,443.2,457.2,408.8,312.3,182.3,109.3,118,447.4,460.7,99.7,414.3,318.8,187.3,23.2,112.5,450.9,464.2,417.7,323.2,191.5,115.7,458.7,471.8,426.2,334.2,201.7,123.1,475.1,483.5,439.8,350.7,218.2,,136.7,483.2,490,446.9,358.6,226.1,142.9,117.5,99.9,23
-4,244.4,229.1,211.9,164.8,102.9,64,419.5,422.9,369.3,276,159,94.8,434,445,393.5,295.6,170.5,101.4,439.8,452.6,403.4,306,176.7,105.6,444.3,458.7,409.8,312.6,182.3,109.4,117.8,448.2,461.7,100,414.8,319.3,187.3,23.1,112.7,451.6,465.4,418.5,323.5,191.7,115.6,459.4,472.1,426.9,334.5,202,123.2,475.9,484.3,440.2,351.1,218.5,,137,484.2,490.6,447.3,359.1,226.4,143,117.4,99.9,23
-3,321.7,308,269.7,202.3,119.2,71.5,422.9,427,372.8,279.2,159.9,95.4,435.1,446.3,394.4,296.2,170.8,101.6,440.1,453.4,403.9,306.3,177,105.9,445.3,459.2,410.4,313.2,182.6,109.3,117.5,449.1,463.1,99.8,415.2,319.7,187.8,23.1,112.8,452.3,465.4,419.3,323.8,191.8,115.7,459.7,472.4,427.4,334.8,202,123.4,476.6,485.1,440.3,351.4,218.8,,137,484.9,491.4,447.7,359.6,226.4,143.3,117.4,100,23
-2,357.4,346.9,299.1,221.4,127.4,75.7,424.8,430.2,375,280.1,160.8,95.7,435.7,447.4,395.3,296.8,171.1,101.8,440.5,454.2,404.4,306.6,177.4,106.1,446.2,459.4,410.8,313.8,182.9,109.4,117.2,449.7,463.7,100,415.5,319.8,188.4,23.2,113,453,465.1,419.6,324,191.8,115.8,460.1,473,427.9,335,201.9,123.5,477.1,485.8,440.9,351.6,219.1,,137,485.6,492.4,448.2,359.5,226.3,143.7,117.3,100.2,22.8
-1,371,362.2,310.8,229.5,131.2,77.6,425.4,431.6,376.5,281.1,161.3,95.9,436.2,448,396,297.5,171.2,102,441.2,454.9,404.9,307.1,177.6,106,446.4,459.4,410.8,314,182.9,109.7,117.3,450.1,464.1,99.9,415.9,320,188.2,23.2,113.2,453.3,466,419.8,324.3,192.1,116,460.7,473.6,428.2,335.3,201.9,123.5,477.4,486.3,441.5,351.8,219.1,,137,485.9,493,448.5,359.2,226.4,143.6,117.6,99.7,23
0,371.6,363.4,313.4,231.8,131.9,77.8,425.8,432.5,377.1,281.4,161.8,95.9,436.3,448.1,396.6,298,171.4,102.2,441.6,455.3,405,307.5,177.8,105.9,445.5,459.3,410.8,313.9,183,109.7,117.7,450,464.1,99.9,416.3,320,187.9,23.3,113,453.1,467.2,419.9,324.6,192.3,116,460.8,474,428.5,335.6,202,123.7,477.4,486.4,441.5,352.1,219,,137.1,486.2,493.3,448.3,359.6,226.7,143.3,117.7,99.5,23
1,370.9,363.6,310.1,229.7,130.8,77.2,425.4,431.7,376.7,281.7,161.4,95.9,436.4,448.1,396.4,298.2,171.5,102.2,441.4,455.3,405.1,307.1,177.7,106,445.1,459.3,410.9,313.8,182.9,109.3,117.6,449.6,464,99.8,416.5,320.1,187.8,23.4,112.8,453,467,420,324.8,192.2,116.1,460.8,474.3,428.5,336.1,202,123.9,477.4,486.2,441.2,352.1,219.3,,137.1,486,493.4,448.3,360,226.7,143.4,117.3,99.6,23.2
2,355.2,351.2,298,221.7,127.4,75.6,424.9,430.7,375.4,280.3,161,95.5,436,448.1,396.1,298,171.6,102.1,441.2,455.1,404.9,306.7,177.6,105.9,445.4,459.5,410.8,313.9,182.9,109.3,117.7,449.2,463.8,99.3,416.4,320,187.7,23.3,112.9,452.9,466.6,419.9,324.9,192.1,116.1,460.7,473.8,428.4,335.7,202.1,123.8,477.5,486.2,441.5,352.1,219.7,,137.2,485.8,493.2,448.7,360.2,226.7,143.5,117.1,99.9,23.3
3,317.8,320.2,270.9,204.4,120,71.6,423.3,428.8,373,278.9,160.1,95.2,435.7,447.7,395.1,297.4,171.1,101.9,440.8,454.5,404.7,306.9,177.6,105.8,445.4,459.3,410.5,313.8,182.9,109.5,118,449,463.4,100.1,416.1,320,187.8,23.1,113.1,452.9,466.3,419.7,324.9,191.9,116.1,460.6,473.4,428.2,335.3,201.9,123.6,477.5,486.2,441.9,352,219.3,,137.1,486.1,492.8,448.8,360.3,226.7,143.6,117.4,100.1,23
4,242.9,256.4,217.4,169.9,105.6,64.6,419.7,424.9,369.5,277.7,159.2,94.6,435,446.7,394,296.7,170.6,101.7,440.3,453.9,404,307.1,177.6,105.7,445,458.9,410.2,313.7,182.9,109.5,117.4,448.9,463.4,100.1,415.5,319.7,187.8,22.9,113,452.7,466.1,419.1,324.7,191.8,116.1,460.5,473,427.9,335,201.7,123.4,477.4,486.1,441.5,351.9,218.9,,137,486.2,492.3,448.3,360.1,226.6,143.7,117.6,99.9,22.9
5,139.4,158.9,140.6,119.1,81.7,53.4,414.1,418.7,364.1,273.3,157.2,94.1,434.1,445.3,392.3,295.8,170.1,101.5,439.5,453.2,403.3,306.4,177.3,105.7,444.5,458.3,409.8,313.4,182.8,109.5,118.1,448.9,463.6,99.9,415.1,319.4,187.8,23.2,112.9,452.2,465.7,418.3,324.1,191.8,116,460.3,472.8,427.2,334.7,201.6,123.3,477.1,485.7,440.9,351.5,218.8,,137.1,485.3,491.7,448,359.9,226.8,143.4,117.2,100.1,23
6,65.4,79.7,74.8,69.4,52.1,38.6,404.7,409.6,355.7,267.9,155.2,92.6,432.3,443.3,390.5,294.4,169.6,101.4,438.6,452.5,402.4,305.7,176.9,105.7,443.8,457.4,409.2,312.9,182.7,109.4,117.6,448.2,462.6,99.9,414.8,318.4,187.7,23.2,112.6,451.4,465.2,417.8,323.5,191.9,115.7,459.4,472.8,426.7,334.5,201.6,123.1,476.3,485.1,440.2,351.1,218.8,,137.2,484.5,490.9,448.2,359.5,226.9,143,117.4,100.1,23.1
7,31.9,41.2,39.9,37.7,29.7,24.5,385.7,393,340.7,259.2,151.4,91.1,430.6,441,388,292.7,168.9,101,437.6,451.8,401.5,304.7,176.4,105.4,443,456.5,408.5,312.4,182.3,109.3,117.4,446.7,461,100,414.1,317.4,187.4,23.3,112.4,450.5,464.5,417.3,323,191.4,115.5,458,472.4,426.5,334.2,201.4,123,475.4,484.4,439.4,350.8,218.7,,137,483.9,490.7,447.9,359.1,226.7,143.1,117.6,99.7,23.2
8,18.5,25.1,24.5,22.8,17.8,14.9,348.9,359.8,314.3,244.9,146.4,88.7,427.6,438,384.9,291,168.3,100.6,436.5,450.2,399.8,303.6,175.9,105.1,442.1,455.7,407.6,311.7,181.9,109.1,117.7,445.6,460.2,99.6,413,317.3,187.1,23.4,112.3,449.4,463.7,416.4,322.5,191,115.5,457.3,470.7,426.2,333.6,201.3,122.9,474.5,483.7,438.8,350.5,218.5,,136.7,483.3,490.7,446.4,358.6,226.3,143.3,117.6,99.2,23
9,11.5,16.6,16.6,15.2,11.7,9.5,277.7,299.7,265.1,218.9,136.3,84.8,423.9,432.8,380.8,288,166.9,99.9,435.1,448.3,398.2,302.3,175.5,104.7,441,454.7,406.6,310.8,181.4,108.7,118,444.9,459.6,99.6,411.8,317.1,186.4,23,112.3,448.5,462.5,415.5,322.1,190.5,115.4,457,469.6,425.5,333,200.8,122.8,473.6,483,438.1,349.9,218.2,,136.6,482.6,489.9,445.3,358.2,226,143.1,118,99.6,22.9
10,7.9,11.8,11.9,11,8.3,6.5,176.8,206,191,172.9,121.1,79,417.6,426.1,375.2,283.9,165.6,99.1,433.7,446.4,397,301.1,175,104.3,439.8,453.8,405.4,309.7,180.9,108.5,117.8,444,458.4,99.8,410.6,316.2,185.7,22.9,112.1,447.8,461.3,414.5,321.4,190,115.1,456.3,469,424.6,332.3,200.3,122.6,472.5,482.2,437.4,349.3,217.9,,136.5,481.8,488.5,444.9,357.4,225.6,142.8,117.1,99.5,23.2
11,5.5,8.6,8.8,8.2,6.1,4.8,90.2,114.6,114.9,112.4,96.4,69.5,408.4,416,366.9,278.9,163.3,98.1,432.2,443.9,393.4,299.5,174.2,104,438.4,452.5,403.6,308.6,180.3,108.3,117.5,443,456.8,99.8,409.5,315.3,185.5,22.9,111.9,446.4,460.2,413.4,320.3,189.9,114.8,455.4,468.1,423.3,331.5,200,122.5,471.3,481.2,436.5,348.6,217.7,,136.4,480.4,487.3,444.1,356.3,225.5,142.6,117.6,99.7,23.2
12,4.2,6.5,6.7,6.2,4.6,3.7,46.1,62.6,65.5,65.5,64.6,55.2,391,399.9,353.3,271.4,160.3,97,429.9,440.9,391.1,297.4,173.4,103.7,436.7,451,401.6,307.4,179.7,108,117.5,441.6,455.6,99.7,408.5,314.1,185.3,22.9,111.5,444.8,459.1,412.2,319.2,189.8,114.4,453.7,466.4,422,330.5,199.8,122.3,470.1,479.8,435.7,347.8,217.4,,136.2,479.1,486.2,442.7,355.4,225.4,142.5,117.8,100,23.1
